total_bill,sex,smoker,day,time,size,tip
16.99,1,0,3,1,2,1.01
10.34,0,0,3,1,3,1.66
21.01,0,0,3,1,3,3.5
23.68,0,0,3,1,2,3.31
24.59,1,0,3,1,4,3.61
25.29,0,0,3,1,4,4.71
8.77,0,0,3,1,2,2.0
26.88,0,0,3,1,4,3.12
15.04,0,0,3,1,2,1.96
14.78,0,0,3,1,2,3.23
10.27,0,0,3,1,2,1.71
35.26,1,0,3,1,4,5.0
15.42,0,0,3,1,2,1.57
18.43,0,0,3,1,4,3.0
14.83,1,0,3,1,2,3.02
21.58,0,0,3,1,2,3.92
10.33,1,0,3,1,3,1.67
16.29,0,0,3,1,3,3.71
16.97,1,0,3,1,3,3.5
20.65,0,0,2,1,3,3.35
17.92,0,0,2,1,2,4.08
20.29,1,0,2,1,2,2.75
15.77,1,0,2,1,2,2.23
39.42,0,0,2,1,4,7.58
19.82,0,0,2,1,2,3.18
17.81,0,0,2,1,4,2.34
13.37,0,0,2,1,2,2.0
12.69,0,0,2,1,2,2.0
21.7,0,0,2,1,2,4.3
19.65,1,0,2,1,2,3.0
9.55,0,0,2,1,2,1.45
18.35,0,0,2,1,4,2.5
15.06,1,0,2,1,2,3.0
20.69,1,0,2,1,4,2.45
17.78,0,0,2,1,2,3.27
24.06,0,0,2,1,3,3.6
16.31,0,0,2,1,3,2.0
16.93,1,0,2,1,3,3.07
18.69,0,0,2,1,3,2.31
31.27,0,0,2,1,3,5.0
16.04,0,0,2,1,3,2.24
17.46,0,0,3,1,2,2.54
13.94,0,0,3,1,2,3.06
9.68,0,0,3,1,2,1.32
30.4,0,0,3,1,4,5.6
18.29,0,0,3,1,2,3.0
22.23,0,0,3,1,2,5.0
32.4,0,0,3,1,4,6.0
28.55,0,0,3,1,3,2.05
18.04,0,0,3,1,2,3.0
12.54,0,0,3,1,2,2.5
10.29,1,0,3,1,2,2.6
34.81,1,0,3,1,4,5.2
9.94,0,0,3,1,2,1.56
25.56,0,0,3,1,4,4.34
19.49,0,0,3,1,2,3.51
38.01,0,1,2,1,4,3.0
26.41,1,0,2,1,2,1.5
11.24,0,1,2,1,2,1.76
48.27,0,0,2,1,4,6.73
20.29,0,1,2,1,2,3.21
13.81,0,1,2,1,2,2.0
11.02,0,1,2,1,2,1.98
18.29,0,1,2,1,4,3.76
17.59,0,0,2,1,3,2.64
20.08,0,0,2,1,3,3.15
16.45,1,0,2,1,2,2.47
3.07,1,1,2,1,1,1.0
20.23,0,0,2,1,2,2.01
15.01,0,1,2,1,2,2.09
12.02,0,0,2,1,2,1.97
17.07,1,0,2,1,3,3.0
26.86,1,1,2,1,2,3.14
25.28,1,1,2,1,2,5.0
14.73,1,0,2,1,2,2.2
10.51,0,0,2,1,2,1.25
17.92,0,1,2,1,2,3.08
27.2,0,0,0,0,4,4.0
22.76,0,0,0,0,2,3.0
17.29,0,0,0,0,2,2.71
19.44,0,1,0,0,2,3.0
16.66,0,0,0,0,2,3.4
10.07,1,0,0,0,1,1.83
32.68,0,1,0,0,2,5.0
15.98,0,0,0,0,2,2.03
34.83,1,0,0,0,4,5.17
13.03,0,0,0,0,2,2.0
18.28,0,0,0,0,2,4.0
24.71,0,0,0,0,2,5.85
21.16,0,0,0,0,2,3.0
28.97,0,1,1,1,2,3.0
22.49,0,0,1,1,2,3.5
5.75,1,1,1,1,2,1.0
16.32,1,1,1,1,2,4.3
22.75,1,0,1,1,2,3.25
40.17,0,1,1,1,4,4.73
27.28,0,1,1,1,2,4.0
12.03,0,1,1,1,2,1.5
21.01,0,1,1,1,2,3.0
12.46,0,0,1,1,2,1.5
11.35,1,1,1,1,2,2.5
15.38,1,1,1,1,2,3.0
44.3,1,1,2,1,3,2.5
22.42,1,1,2,1,2,3.48
20.92,1,0,2,1,2,4.08
15.36,0,1,2,1,2,1.64
20.49,0,1,2,1,2,4.06
25.21,0,1,2,1,2,4.29
18.24,0,0,2,1,2,3.76
14.31,1,1,2,1,2,4.0
14.0,0,0,2,1,2,3.0
7.25,1,0,2,1,1,1.0
38.07,0,0,3,1,3,4.0
23.95,0,0,3,1,2,2.55
25.71,1,0,3,1,3,4.0
17.31,1,0,3,1,2,3.5
29.93,0,0,3,1,4,5.07
10.65,1,0,0,0,2,1.5
12.43,1,0,0,0,2,1.8
24.08,1,0,0,0,4,2.92
11.69,0,0,0,0,2,2.31
13.42,1,0,0,0,2,1.68
14.26,0,0,0,0,2,2.5
15.95,0,0,0,0,2,2.0
12.48,1,0,0,0,2,2.52
29.8,1,0,0,0,6,4.2
8.52,0,0,0,0,2,1.48
14.52,1,0,0,0,2,2.0
11.38,1,0,0,0,2,2.0
22.82,0,0,0,0,3,2.18
19.08,0,0,0,0,2,1.5
20.27,1,0,0,0,2,2.83
11.17,1,0,0,0,2,1.5
12.26,1,0,0,0,2,2.0
18.26,1,0,0,0,2,3.25
8.51,1,0,0,0,2,1.25
10.33,1,0,0,0,2,2.0
14.15,1,0,0,0,2,2.0
16.0,0,1,0,0,2,2.0
13.16,1,0,0,0,2,2.75
17.47,1,0,0,0,2,3.5
34.3,0,0,0,0,6,6.7
